subj,test,kss,mean_rt,median_rt,lapse,lapse_rate,sd_rt,slow10,n_trial
1,1,3.0,265.2,261.0,0,0.0,45.6,317.3,98
1,2,6.0,331.1,307.0,7,0.07,87.1,462.1,100
1,3,7.0,291.2,267.0,1,0.0109,90.8,403.0,92
10,1,3.0,363.4,355.0,2,0.0215,47.2,398.8,93
10,3,7.0,395.3,378.0,7,0.0729,82.8,494.5,96
11,1,4.0,355.5,328.5,6,0.0667,82.5,437.0,90
11,2,7.0,360.7,336.0,6,0.0645,77.0,431.6,93
11,3,7.0,404.5,371.0,20,0.2105,96.9,546.0,95
12,1,2.0,351.8,334.0,3,0.0316,64.0,450.6,95
13,1,6.0,357.3,337.0,1,0.0111,102.7,424.1,90
13,2,3.0,321.9,306.0,1,0.0094,57.2,383.0,106
14,1,5.0,364.3,360.0,1,0.0108,53.5,415.8,93
14,2,7.0,431.2,420.0,11,0.1222,74.7,516.2,90
14,3,8.0,427.8,401.0,17,0.1667,102.5,526.2,102
2,1,3.0,326.7,314.0,2,0.0222,83.7,382.2,90
2,2,7.0,357.3,357.0,2,0.0204,58.1,417.9,98
2,3,6.0,333.0,315.0,2,0.0202,109.7,393.6,99
3,1,2.0,380.4,365.5,6,0.0612,54.0,462.1,98
3,2,3.0,390.7,379.0,6,0.0583,55.6,463.6,103
3,3,4.0,404.5,392.0,9,0.0989,60.7,489.0,91
4,1,4.0,421.6,408.5,14,0.1591,72.7,521.3,88
4,2,8.0,659.9,586.0,60,0.6977,301.7,948.5,86
4,3,9.0,624.2,523.0,50,0.5747,307.6,875.4,87
5,1,3.0,408.7,398.0,11,0.1134,62.1,502.6,97
5,2,7.0,603.6,498.5,46,0.4894,399.0,857.3,94
5,3,8.0,468.8,455.0,23,0.2584,68.5,540.8,89
6,1,2.0,345.0,338.0,2,0.0217,43.8,399.7,92
6,2,3.0,422.0,401.0,16,0.1758,84.1,545.0,91
6,3,7.0,502.4,471.0,40,0.4348,111.8,644.0,92
7,2,4.0,372.3,347.5,7,0.0761,102.2,451.7,92
7,3,9.0,659.3,566.0,53,0.5889,355.3,1073.2,90
8,1,2.0,357.8,349.0,4,0.0421,49.1,423.8,95
8,2,6.0,433.6,419.5,11,0.1146,69.1,520.0,96
8,3,8.0,457.4,425.5,23,0.2396,112.5,592.5,96
9,2,6.0,386.8,334.0,7,0.0753,153.1,475.0,93
9,3,8.0,601.0,427.0,38,0.4222,460.0,981.2,90
